NOTATION,Location 1,INSP_AREA,DATA_STATUS,COMP_TYPE,SUB_TYPE,APPROVED,X_COORD,Y_COORD,PARCEL
KEEP THE BUILDING VACANT,"512 E 12TH ST
Cincinnati, OH
(39.110024710727714, -84.50619489450082)",130,CRIMINAL,CBHCODE ,VACANT  ,N,1399279,410668,'007500030125      
KEEP THE BUILDING VACANT,"523 E 12TH ST
Cincinnati, OH
(39.110051690388616, -84.50570926060499)",130,DIVERSN ,CBHCODE ,VACANT  ,N,1399430,410579,'007500030149      
KEEP THE BUILDING VACANT,"26 E 13TH ST
Cincinnati, OH
(39.10962900903485, -84.51410892835867)",120,ORDERS  ,CBHCODE ,VACANT  ,N,1397028,410585,'008000020179      
KEEP THE BUILDING VACANT,"35 E 13TH ST
Cincinnati, OH
(39.10962900903485, -84.51370423344548)",120,FINLNOTC,CBHCODE ,VACANT  ,N,1397130,410481,'008000020085      
KEEP THE BUILDING VACANT ,"400 E 13TH ST
Cincinnati, OH
(39.11034846665825, -84.5084342063538)",130,ORDERS  ,CBHCODEC,VACANT  ,N,1398649,410780,'007500020036      
KEEP THE BUILDING VACANT,"423 E 13TH ST
Cincinnati, OH
(39.11043839886122, -84.5073909927998)",130,CIVIL1  ,CBHCODE ,VACANT  ,N,1398946,410717,'007500030058      
KEEP THE BUILDING VACANT,"425 E 13TH ST
Cincinnati, OH
(39.11043839886122, -84.50737300635922)",130,DIVERSN ,CBHCODE ,VACANT  ,N,1398961,410719,'007500030059      
KEEP THE BUILDING VACANT,"427 E 13TH ST
Cincinnati, OH
(39.110465378522065, -84.50730106059683)",130,CIVIL2  ,CBHCODE ,VACANT  ,N,1398984,410734,'007500030060      
KEEP THE BUILDING VACANT,"516 E 13TH ST
Cincinnati, OH
(39.11069920224969, -84.5061229487385)",130,ORDERS  ,CBHCODE ,VACANT  ,N,1399298,410914,'007500020179      
KEEP THE BUILDING VACANT,"516 E 13TH ST
Cincinnati, OH
(39.11069920224969, -84.5061229487385)",130,DIVERSN ,CBHCODE ,VACANT  ,N,1399298,410914,'007500020179      
KEEP THE BUILDING VACANT,"518 E 13TH ST
Cincinnati, OH
(39.11070819547001, -84.50604200975584)",130,ORDERS  ,CBHCODE ,VACANT  ,N,1399323,410916,'007500020180      
KEEP THE BUILDING VACANT,"518 E 13TH ST
Cincinnati, OH
(39.11070819547001, -84.50604200975584)",130,DIVERSN ,CBHCODE ,VACANT  ,N,1399323,410916,'007500020180      
