COMMUNITY,Location 1,SR TYPE,CSR #,STATUS,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
CORRYVILLE,"2903 BURNET AV
Cincinnati, OH
(39.132615680103754, -84.50133855554259)",Graffiti removal,SR12054452,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/19/2012 12:00:00 AM,10:46 AM,E UNIVERSITY AV & BURNET AV,33,STANDARD,INTERNET,9200040022,12/19/2012 12:00:00 AM,CSRWEB,01/18/2013 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1400799,418779,
CORRYVILLE,"254 OAK ST
Cincinnati, OH
(39.131050859772756, -84.50322713180412)",Graffiti removal,SR12054450,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/19/2012 12:00:00 AM,10:40 AM,254 OAK ST CINC - GJ1582134298,33,STANDARD,INTERNET,9200040185,12/19/2012 12:00:00 AM,CSRWEB,01/18/2013 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1400324,418283,
MOUNT AUBURN,"2445 HIGHLAND AV
Cincinnati, OH
(39.166289643162884, -84.44557179188594)",Graffiti removal,SR12054449,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/19/2012 12:00:00 AM,10:34 AM,2445 HIGHLAND AV CINC - GJ1578633739,22,STANDARD,INTERNET,8900030023,12/19/2012 12:00:00 AM,CSRWEB,01/18/2013 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1400118,416456,
MOUNT AUBURN,"2428 AUBURN AV
Cincinnati, OH
(39.1265092835248, -84.508380247032)",Graffiti removal,SR12054440,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/19/2012 12:00:00 AM,10:19 AM,2428 AUBURN AV CINC - GJ1542833759,22,STANDARD,INTERNET,8900040044,12/19/2012 12:00:00 AM,CSRWEB,01/18/2013 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1398948,416586,
CLIFTON,"880 RUE DE LA PAIX
Cincinnati, OH
(39.15177406477184, -84.53306993272479)",Graffiti removal,SR12054438,NEW     ,GRAFFITI ON RETAINING WALL - PLEASE PRESSURE WATER,12/19/2012 12:00:00 AM,10:07 AM,880 RUE DE LA PAIX - GJ1306036602,71,STANDARD,PHONE,02150070CD01      ,12/19/2012 12:00:00 AM,CCOLEMAN,01/18/2013 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1391650,426279,
MOUNT AUBURN,"303 SEITZ ST
Cincinnati, OH
(39.11561849374999, -84.51177968430278)",Graffiti removal,SR12054366,INPROGRS,Graffiti on boarded up windows,12/18/2012 12:00:00 AM,1:38 PM,303 SEITZ ST - GJ1512132543,23,STANDARD,NOD GRAFFITI,9400060015,12/18/2012 12:00:00 AM,ACURRY,01/17/2013 12:00:00 AM,,,12/18/2012 12:00:00 AM,,1397743,412643,
SOUTH FAIRMOUNT,"2038 SUNSET AV
Cincinnati, OH
(39.128316920803684, -84.57745717210253)",Graffiti removal,SR12054347,NEW     ,The graffiti is on the retaining wall and now the wall needs to be power washed,12/18/2012 12:00:00 AM,12:27 PM,SUNSET AV & QUEEN CITY AV - GJ0942233860,100.01,STANDARD,PHONE,20400180077,12/18/2012 12:00:00 AM,DSWEETEN,01/17/2013 12:00:00 AM,,,12/18/2012 12:00:00 AM,,1379286,417887,
EAST WALNUT HILLS,"1530 MADISON RD
Cincinnati, OH
(39.12985720880086, -84.47833288114073)",Graffiti removal,SR12054339,NEW     ,GRAFFITI ON THE SIDE OF THE BUILDING,12/18/2012 12:00:00 AM,12:01 PM,1530 MADISON RD - GJ1804434218,37,STANDARD,PHONE,6100010141,12/18/2012 12:00:00 AM,CCOLEMAN,01/17/2013 12:00:00 AM,,,12/18/2012 12:00:00 AM,,1407590,417657,
WESTWOOD,"2321 FERGUSON RD
Cincinnati, OH
(39.12849678520956, -84.6008935041861)",Graffiti removal,SR12054329,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/18/2012 12:00:00 AM,10:46 AM,2321 FERGUSON RD CINC - GJ0732933768,109,STANDARD,INTERNET,24800020027,12/18/2012 12:00:00 AM,CSRWEB,01/17/2013 12:00:00 AM,,,12/18/2012 12:00:00 AM,,1372415,417929,
WESTWOOD,"2321 FERGUSON RD
Cincinnati, OH
(39.12849678520956, -84.6008935041861)",Graffiti removal,SR12054327,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/18/2012 12:00:00 AM,10:43 AM,2321 FERGUSON RD CINC - GJ0732933768,109,STANDARD,INTERNET,24800020027,12/18/2012 12:00:00 AM,CSRWEB,01/17/2013 12:00:00 AM,,,12/18/2012 12:00:00 AM,,1372415,417929,
