COMMUNITY,Location 1,SR TYPE,CSR #,STATUS,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
AVONDALE,"3550 VAN ANTWERP PL
Cincinnati, OH
(39.14659114443907, -84.49377525727618)",Litter private property,SR12054503,CIVIL   ,SEVERAL LARGE PILES OF DUMPED DEBRIS ON ENTIRE PREMISES,12/19/2012 12:00:00 AM,2:04 PM,3550 VAN ANTWERP PL - GJ1663436047,68,STANDARD,PHONE,11200060016,12/19/2012 12:00:00 AM,YBRAY,02/02/2013 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1403270,423877,
SEDAMSVILLE,"766 DELHI AV
Cincinnati, OH
(39.09254189047812, -84.57221412467175)",Litter private property,SR12054491,CIVIL   ,couch on vacant lot,12/19/2012 12:00:00 AM,1:30 PM,766 DELHI AV - GJ0997829862,103,STANDARD,PHONE,15300030002,12/19/2012 12:00:00 AM,DWHITTINGTON,02/02/2013 12:00:00 AM,,,12/20/2012 12:00:00 AM,,1380457,404698,
EVANSTON,"3019 CLEINVIEW AV
Cincinnati, OH
(39.132264944512315, -84.47349554551545)",Litter private property,SR12054484,NEW     ,litter and debris from not taking out garbage,12/19/2012 12:00:00 AM,1:01 PM,3019 CLEINVIEW AV - GJ1835934495,41,STANDARD,PHONE,5500060118,12/19/2012 12:00:00 AM,TGROME,02/02/2013 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1408670,418514,
EVANSTON,"3021 CLEINVIEW AV
Cincinnati, OH
(39.132336890274644, -84.47348655229518)",Litter private property,SR12054483,NEW     ,litter all over from not taking out garbage  ,12/19/2012 12:00:00 AM,1:00 PM,3021 CLEINVIEW AV - GJ1836034503,41,STANDARD,PHONE,5500060119,12/19/2012 12:00:00 AM,TGROME,02/02/2013 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1408673,418539,
NORTHSIDE,"4131 MAD ANTHONY ST
Cincinnati, OH
(39.16098029690784, -84.53533292825011)",Litter private property,SR12054428,CLOS-NO ,Dumped tires and boxes with trash,12/19/2012 12:00:00 AM,9:31 AM,4131 MAD ANTHONY ST - GJ1292737533 4131 Mad Anthony St,74,STANDARD,PHONE,22100190017,12/19/2012 12:00:00 AM,VBANKS,02/02/2013 12:00:00 AM,,12/20/2012 12:00:00 AM,12/20/2012 12:00:00 AM,,1391365,429348,
WESTWOOD,"2489 GATE ST
Cincinnati, OH
(39.142157486834606, -84.58221458563753)",Litter private property,SR12054420,NEW     ,litte and debris on property,12/19/2012 12:00:00 AM,9:06 AM,2489 GATE ST - GJ0896335328,100.02,STANDARD,PHONE,02070A540156      ,12/19/2012 12:00:00 AM,TGROME,02/02/2013 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1378024,422773,
CUF,"213 BOSLEY ST
Cincinnati, OH
(39.125286205564976, -84.51862352494572)",Litter private property,SR12054418,CIVIL   ,litter on premises,12/19/2012 12:00:00 AM,9:00 AM,213 BOSLEY ST - GJ1449933593,25,STANDARD,PHONE,10000020333,12/19/2012 12:00:00 AM,YBRAY,02/02/2013 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1395875,416187,
CUF,"211 BOSLEY ST
Cincinnati, OH
(39.12526821912434, -84.51854258596313)",Litter private property,SR12054416,CIVIL   ,litter on premises,12/19/2012 12:00:00 AM,8:59 AM,211 BOSLEY ST - GJ1450633593,25,STANDARD,PHONE,10000020334,12/19/2012 12:00:00 AM,YBRAY,02/02/2013 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1395899,416183,
WESTWOOD,"3219 STANHOPE AV
Cincinnati, OH
(39.144153981739635, -84.61461715835321)",Litter private property,SR12054389,NEW     ,LITTER ON PRIVATE PROPERTY,12/18/2012 12:00:00 AM,3:28 PM,3219 STANHOPE AV - GJ0612535485,102.01,STANDARD,PHONE,21200620151,12/18/2012 12:00:00 AM,WJACOBY,02/01/2013 12:00:00 AM,,,12/18/2012 12:00:00 AM,,1368749,423748,
WINTON HILLS,"866 GWINNET RD
Cincinnati, OH
(39.191008659466206, -84.51931600290828)",Litter private property,SR12054371,CIVIL   ,litter/debris/ pillows TV's etc,12/18/2012 12:00:00 AM,1:56 PM,866 GWINNET RD - GJ1426040949,80,STANDARD,PHONE,23700040020,12/18/2012 12:00:00 AM,DRANKIN,02/01/2013 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1396290,440324,
EAST PRICE HILL,"962 MANSION AV
Cincinnati, OH
(39.10939518530722, -84.56629658571893)",Litter private property,SR12054369,CIVIL   ,litter in front yard,12/18/2012 12:00:00 AM,1:51 PM,962 MANSION AV - GJ1044031742,95,STANDARD,PHONE,17500180187,12/18/2012 12:00:00 AM,DWHITTINGTON,02/01/2013 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1382277,410784,
EAST PRICE HILL,"958 MANSION AV
Cincinnati, OH
(39.10931424632457, -84.56630557893925)",Litter private property,SR12054368,CIVIL   ,couch and debris in driveway,12/18/2012 12:00:00 AM,1:50 PM,958 MANSION AV - GJ1044631726,95,STANDARD,PHONE,17500180252,12/18/2012 12:00:00 AM,DWHITTINGTON,02/01/2013 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1382293,410729,
ROSELAWN,"7875 READING RD
Cincinnati, OH
(39.2058147955908, -84.45256733635411)",Litter private property,SR12054346,CLOS-NO ,LITTER/OPEN BAGS OF TRASH IN REAR OF PARKING LOT.,12/18/2012 12:00:00 AM,12:23 PM,7875 READING RD - GJ1990742689,110,STANDARD,PHONE,11700150144,12/18/2012 12:00:00 AM,SHMORRIS,02/01/2013 12:00:00 AM,,12/19/2012 12:00:00 AM,12/19/2012 12:00:00 AM,,1415080,445105,
WESTWOOD,"3081 WORTHINGTON AV
Cincinnati, OH
(39.14407304275704, -84.5808745958139)",Litter private property,SR12054342,NEW     ,LITTER/TRASH IN REAR OF PROPERTY.  CAN VIEW FROM CALLER'S HOME.,12/18/2012 12:00:00 AM,12:07 PM,3081 WORTHINGTON AV - GJ0904835547,100.02,STANDARD,PHONE,02070A540056      ,12/18/2012 12:00:00 AM,SHMORRIS,02/01/2013 12:00:00 AM,,,12/18/2012 12:00:00 AM,,1378337,423477,
SEDAMSVILLE,"721 STEINER AV
Cincinnati, OH
(39.09161558878793, -84.57009172468258)",Litter private property,SR12054330,NEW     ,JUNK ALL OVER THE PROPERTY,12/18/2012 12:00:00 AM,10:49 AM,721 STEINER AV - GJ1014229744,103,STANDARD,PHONE,15300030045,12/18/2012 12:00:00 AM,CCOLEMAN,02/01/2013 12:00:00 AM,,,12/18/2012 12:00:00 AM,,1380973,404286,
NORTHSIDE,"4165 WITLER ST
Cincinnati, OH
(39.16328256130288, -84.5447308434563)",Litter private property,SR12054293,NEW     ,litter and debris on property and sidewalk,12/18/2012 12:00:00 AM,8:33 AM,4165 WITLER ST - GJ1211737771,78,STANDARD,PHONE,19500280102,12/18/2012 12:00:00 AM,FFORTNEY,02/01/2013 12:00:00 AM,,,12/18/2012 12:00:00 AM,,1388752,430262,
WESTWOOD,"3924 YEARLING CT
Cincinnati, OH
(39.154667056262156, -84.57649489753118)",Litter private property,SR12054285,NEW     ,Bethany House Parking Lot-Bottom of 3924 Yealing Court-Trash all over the place and piled high by the dumpster.,12/18/2012 12:00:00 AM,6:33 AM,3924 YEARLING CT CINC - GJ0950436757,100.02,STANDARD,INTERNET,20900050269,12/18/2012 12:00:00 AM,CSRWEB,02/01/2013 12:00:00 AM,,,12/18/2012 12:00:00 AM,,1380029,427367,
WALNUT HILLS,"740 OAK ST
Cincinnati, OH
(39.12948603944176, -84.49261513185837)",Litter private property,SR12054261,CIVIL   ,LITTER & DEBRIS ON PROPERTYtrash and a branch blocking the sidewalk,12/17/2012 12:00:00 AM,4:11 PM,740 OAK ST - GJ1671834165,35,STANDARD,PHONE,7000010008,12/17/2012 12:00:00 AM,WJACOBY,01/31/2013 12:00:00 AM,,,12/18/2012 12:00:00 AM,,1403238,417699,
WEST PRICE HILL,"3912 W LIBERTY ST
Cincinnati, OH
(39.11706640221712, -84.5785903178595)",Litter private property,SR12054243,CIVIL   ,carpet tires debris side of house,12/17/2012 12:00:00 AM,2:20 PM,3912 W LIBERTY ST - GJ0934232575,98,STANDARD,PHONE,18100010003,12/17/2012 12:00:00 AM,DWHITTINGTON,01/31/2013 12:00:00 AM,,,12/18/2012 12:00:00 AM,,1378814,413692,W 
EAST PRICE HILL,"3111 W 8TH ST
Cincinnati, OH
(39.10581588363061, -84.56292412810905)",Litter private property,SR12054242,CIVIL   ,carpet psdding side of house,12/17/2012 12:00:00 AM,2:19 PM,3111 W 8TH ST - GJ1072731325,96,STANDARD,PHONE,17800250062,12/17/2012 12:00:00 AM,DWHITTINGTON,01/31/2013 12:00:00 AM,,,12/18/2012 12:00:00 AM,,1383148,409371,W 
NORTH AVONDALE,"4048 LEDGEWOOD DR
Cincinnati, OH
(39.15699630031804, -84.47315380314433)",Litter private property,SR12054235,NEW     ,litter and debris from overflowing dumpster,12/17/2012 12:00:00 AM,2:09 PM,4048 LEDGEWOOD DR - GJ1837337235,65,STANDARD,PHONE,11600040056,12/17/2012 12:00:00 AM,TGROME,01/31/2013 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1409162,427489,
RIVERSIDE,"3548 RIVER RD
Cincinnati, OH
(39.081174460027796, -84.58920231780519)",Litter private property,SR12054212,NEW     ,litter and debris on property,12/17/2012 12:00:00 AM,12:33 PM,3548 RIVER RD - GJ0851528590,103,STANDARD,PHONE,15700600047,12/17/2012 12:00:00 AM,TGROME,01/31/2013 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1375458,400772,
NORTHSIDE,"4169 WITLER ST
Cincinnati, OH
(39.16339947316669, -84.54468587735488)",Litter private property,SR12054211,CIVIL   ,litter and debris on property,12/17/2012 12:00:00 AM,12:33 PM,4169 WITLER ST - GJ1211837786,78,STANDARD,PHONE,19500280104,12/17/2012 12:00:00 AM,TGROME,01/31/2013 12:00:00 AM,,,12/18/2012 12:00:00 AM,,1388762,430314,
WEST END,"421 WADE ST
Cincinnati, OH
(39.112219056479205, -84.52315610797342)",Litter private property,SR12054208,NEW     ,litter and debris on property,12/17/2012 12:00:00 AM,12:31 PM,421 WADE ST - GJ1414832135,8,STANDARD,PHONE,13400010257,12/17/2012 12:00:00 AM,TGROME,01/31/2013 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1394488,411470,
CUF,"225 ATKINSON ST
Cincinnati, OH
(39.12588875132457, -84.518938287656)",Litter private property,SR12054206,CLOS-NO ,litter and debris on property,12/17/2012 12:00:00 AM,12:26 PM,225 ATKINSON ST - GJ1447233667,25,STANDARD,PHONE,10000020291,12/17/2012 12:00:00 AM,TGROME,01/31/2013 12:00:00 AM,,12/19/2012 12:00:00 AM,12/19/2012 12:00:00 AM,,1395802,416433,
