NOTATION,DATA_STATUS,COMP_TYPE,SUB_TYPE,APPROVED,X_COORD,Y_COORD,PARCEL,Location 1
KEEP THE BUILDING VACANT,CRIMPREP,CBHCODE ,VACANT  ,N,1384219,420238,'020600060055      ,"1911 ARTHUR PL
CINCINNATI, OH
(39.13566732015346, -84.55995036455752)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1387807,419463,'020200330085      ,"1601 BALTIMORE AV
CINCINNATI, OH
(39.13372184619976, -84.54722196547749)"
KEEP THE BUILDING VACANT,PREPROS ,CBHCODE ,VACANT  ,N,1387697,419474,'020200330152      ,"1611 BALTIMORE AV
CINCINNATI, OH
(39.133766812301246, -84.54775256547475)"
KEEP THE BUILDING VACANT,PREPROS ,CBHCODE ,VACANT  ,N,1387697,419474,'020200330152      ,"1611 BALTIMORE AV
CINCINNATI, OH
(39.133766812301246, -84.54775256547475)"
CONDEMNATION,HAZARD  ,CBHCODEC,VACANT  ,N,1387539,419459,'020200410001      ,"1625 BALTIMORE AV
CINCINNATI, OH
(39.13380278518241, -84.54831913835324)"
KEEP THE BUILDING VACANT ,PROBATN ,CBHCODEC,VACANT  ,N,1387539,419459,'020200410001      ,"1625 BALTIMORE AV
CINCINNATI, OH
(39.13380278518241, -84.54831913835324)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1387020,419696,'020200400208      ,"1674 BALTIMORE AV
CINCINNATI, OH
(39.13399164280855, -84.55015375529302)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1387020,419696,'020200400208      ,"1674 BALTIMORE AV
CINCINNATI, OH
(39.13399164280855, -84.55015375529302)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1386970,419700,'020200400426      ,"1680 BALTIMORE AV
CINCINNATI, OH
(39.13400063602887, -84.55033361969885)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1386970,419700,'020200400426      ,"1680 BALTIMORE AV
CINCINNATI, OH
(39.13400063602887, -84.55033361969885)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1386880,419710,'020200400206      ,"1700 BALTIMORE AV
CINCINNATI, OH
(39.134018622469455, -84.55063039596854)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1386880,419710,'020200400206      ,"1700 BALTIMORE AV
CINCINNATI, OH
(39.134018622469455, -84.55063039596854)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1386831,419715,'020200400428      ,"1706 BALTIMORE AV
CINCINNATI, OH
(39.13403660891004, -84.55084623325558)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1386831,419715,'020200400428      ,"1706 BALTIMORE AV
CINCINNATI, OH
(39.13403660891004, -84.55084623325558)"
KEEP THE BUILDING VACANT,CIVIL1  ,CBHCODE ,VACANT  ,N,1385979,419664,'020200420156      ,"1775 BALTIMORE AV
CINCINNATI, OH
(39.13418050043475, -84.55377802307106)"
KEEP THE BUILDING VACANT,PREPROS ,CBHCODE ,VACANT  ,N,1385919,419794,'020100390416      ,"1778 BALTIMORE AV
CINCINNATI, OH
(39.134261439417344, -84.55402983323927)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1385798,419670,'020200420173      ,"1787 BALTIMORE AV
CINCINNATI, OH
(39.1342344597565, -84.55446150781336)"
KEEP THE BUILDING VACANT,PREPROS ,CBHCODE ,VACANT  ,N,1385255,419751,'020600050056      ,"1827 BALTIMORE AV
CINCINNATI, OH
(39.134360364840575, -84.55639505017632)"
KEEP THE BUILDING VACANT ,ORDERS  ,CBHCODEC,VACANT  ,N,1385137,419882,'020100390399      ,"1848 BALTIMORE AV
CINCINNATI, OH
(39.134459290263806, -84.55677276542866)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1384858,419908,'020100390391      ,"1857 BALTIMORE AV
CINCINNATI, OH
(39.13477405297408, -84.55760913491588)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1384730,420086,'020600060014      ,"1869 BALTIMORE AV
CINCINNATI, OH
(39.135223713988694, -84.5581397349132)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1384679,420147,'020600060015      ,"1877 BALTIMORE AV
CINCINNATI, OH
(39.13537659873367, -84.55831060609876)"
CONDEMNATION,PREPROS ,CBHCODE ,VACANT  ,N,1384044,421246,'020600030017      ,"1969 BALTIMORE AV
CINCINNATI, OH
(39.13827241566804, -84.5605319315111)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1384167,421505,'020600030046      ,"1990 BALTIMORE AV
CINCINNATI, OH
(39.1389918732915, -84.56057689761258)"
CONDEMNATION,PREPROS ,CBHCODE ,VACANT  ,N,1384157,421611,'020600030048      ,"1998 BALTIMORE AV
CINCINNATI, OH
(39.139279656340875, -84.56062186371406)"
KEEP THE BUILDING VACANT,CIVIL2  ,CBHCODE ,VACANT  ,N,1384157,421611,'020600030048      ,"1998 BALTIMORE AV
CINCINNATI, OH
(39.139279656340875, -84.56062186371406)"
CONDEMNATION,CIVIL1  ,CBHCODE ,VACANT  ,N,1388562,418145,'020200320020      ,"2503 BEEKMAN ST
CINCINNATI, OH
(39.130097578421726, -84.54441608074609)"
KEEP THE BUILDING VACANT,PREPROS ,CBHCODE ,VACANT  ,N,1388378,418704,'020200330041      ,"2546 BEEKMAN ST
CINCINNATI, OH
(39.13145555468594, -84.54539634175802)"
KEEP THE BUILDING VACANT,CIVIL2  ,CBHCODE ,VACANT  ,N,1388364,418734,'020200330042      ,"2548 BEEKMAN ST
CINCINNATI, OH
(39.131545486888854, -84.54544130785945)"
