NOTATION,DATA_STATUS,COMP_TYPE,STREET_DIRECTION,SUB_TYPE,APPROVED,X_COORD,Y_COORD,PARCEL,Location 1
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,E ,VACANT  ,N,1397028,410585,'008000020179      ,"26
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,FINLNOTC,CBHCODE ,E ,VACANT  ,N,1397130,410481,'008000020085      ,"35
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,W ,VACANT  ,N,1396478,410465,'008100040175      ,"20
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,W ,VACANT  ,N,1396391,410458,'008100040171      ,"28
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,E ,VACANT  ,N,1397257,411155,'008000010144      ,"110
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,W ,VACANT  ,N,1395972,410808,'008100020039      ,"116
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,W ,VACANT  ,N,1395954,410805,'008100020040      ,"118
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,PREPROS ,CBHCODE ,W ,VACANT  ,N,1395461,410738,'008100020237      ,"224
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
CONDEMNATION,CIVIL2  ,CBHCODE ,E ,VACANT  ,N,1396728,411454,'008000010033      ,"10
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
CONDEMNATION,CIVIL2  ,CBHCODE ,E ,VACANT  ,N,1396742,411465,'008000010034      ,"12
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
CONDEMNATION,CIVIL2  ,CBHCODE ,E ,VACANT  ,N,1396766,411469,'008000010035      ,"14
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,CIVIL1  ,CBHCODE ,E ,VACANT  ,N,1396822,411366,'008000010069      ,"17
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,FINLNOTC,CBHCODE ,E ,VACANT  ,N,1396857,411493,'008000010045      ,"20
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,E ,VACANT  ,N,1396904,411379,'008000010073      ,"25
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,CRIMINAL,CBHCODE ,E ,VACANT  ,N,1396904,411379,'008000010073      ,"25
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,W ,VACANT  ,N,1395896,411233,'008100020316      ,"118
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,W ,VACANT  ,N,1395857,411223,'008100020314      ,"122
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
CONDEMNATION,PREPROS ,CBHCODE ,W ,VACANT  ,N,1395831,411222,'008100020381      ,"124
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT ,ORDERS  ,CBHCODEC,  ,VACANT  ,N,1395096,412318,'013300030010      ,"1632
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,  ,VACANT  ,N,1397319,411167,'008000010147      ,"1405
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,E ,VACANT  ,N,1396382,413433,'009400050133      ,"31
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,PREPROS ,CBHCODE ,E ,VACANT  ,N,1396492,413449,'009400050109      ,"36
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
CONDEMNATION,ORDERS  ,CBHCODE ,E ,VACANT  ,N,1396509,413428,'009400050110      ,"38
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,CRIMINAL,CBHCODE ,E ,VACANT  ,N,1396509,413428,'009400050110      ,"38
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,E ,VACANT  ,N,1396450,413364,'009400050144      ,"41
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,CIVIL1  ,CBHCODE ,E ,VACANT  ,N,1396462,413335,'009400050145      ,"43
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,E ,VACANT  ,N,1396521,413280,'009400050148      ,"49
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,E ,VACANT  ,N,1396539,413234,'009400050150      ,"53
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
CONDEMNATION,PREPROS ,CBHCODE ,E ,VACANT  ,N,1396680,413083,'009400050159      ,"71
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,PREPROS ,CBHCODE ,E ,VACANT  ,N,1396842,413106,'009400050219      ,"100
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,E ,VACANT  ,N,1396932,412788,'009400050270      ,"127
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,E ,VACANT  ,N,1396961,412757,'009400050271      ,"129
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
CONDEMNATION,CRIMINAL,CBHCODE ,E ,VACANT  ,N,1397134,412747,'009400050250      ,"142
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,E ,VACANT  ,N,1397124,412601,'009400050279      ,"147
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
CONDEMNATION,PREPROS ,CBHCODE ,E ,VACANT  ,N,1397350,412477,'009400070291      ,"214
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
CONDEMNATION,DIVERSN ,CBHCODE ,W ,VACANT  ,N,1395860,414008,'009500030027      ,"105
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
CONDEMNATION,CRIMINAL,CBHCODE ,  ,VACANT  ,N,1397189,411920,'009400070207      ,"112
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,CRIMINAL,CBHCODE ,W ,VACANT  ,N,1396134,412769,'009400080328      ,"18
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,W ,VACANT  ,N,1396039,412722,'009400080308      ,"26
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,W ,VACANT  ,N,1395867,412542,'009400080183      ,"103
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,W ,VACANT  ,N,1395846,412538,'009400080182      ,"105
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,W ,VACANT  ,N,1395784,412523,'009400080178      ,"111
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,W ,VACANT  ,N,1395764,412520,'009400080178      ,"113
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,W ,VACANT  ,N,1395690,412694,'009400080276      ,"116
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,W ,VACANT  ,N,1395620,412682,'009400080251      ,"120
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,W ,VACANT  ,N,1395600,412705,'009400080250      ,"122
cincinnati, oh
(39.1071299998498, -84.50412999989942)"
