COMMUNITY,Location 1,CSR #,STATUS,SR TYPE,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
COLLEGE HILL,"6311 CARY AV
Cincinnati, OH
(39.20714249667185, -84.55002785020889)",SR12054443,NEW     ,Pothole repair,several potholes at intersection,12/19/2012 12:00:00 AM,10:23 AM,CARY AV & HARBESON AV - GJ1154342640,82.01,STANDARD,PHONE,24600040071,12/19/2012 12:00:00 AM,DCOTTRELL,12/21/2012 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1387664,446306,
COLLEGE HILL,"6300 CARY AV
Cincinnati, OH
(39.206584917013686, -84.55001885698863)",SR12054441,NEW     ,Pothole repair,large pothole in road,12/19/2012 12:00:00 AM,10:22 AM,CARY AV & PEASLEE AV - GJ1154242547,82.01,STANDARD,PHONE,24600040071,12/19/2012 12:00:00 AM,DCOTTRELL,12/21/2012 12:00:00 AM,,,12/19/2012 12:00:00 AM,,1387648,446003,
WESTWOOD,"3106 WERK RD
Cincinnati, OH
(39.14054770040218, -84.60450877874388)",SR12054338,CLOSED  ,Pothole repair,SEVERAL POTHOLES ON BOUDINOT AV BETWEEN WERK RD & MONTANA AVE,12/18/2012 12:00:00 AM,11:53 AM,BOUDINOT AV & WERK RD - GJ0705335102,102.02,HAZARDOUS,PHONE,21100670296,12/18/2012 12:00:00 AM,CCOLEMAN,12/20/2012 12:00:00 AM,,12/18/2012 12:00:00 AM,12/18/2012 12:00:00 AM,,1371727,422344,
WEST PRICE HILL,"808 SCHIFF AV
Cincinnati, OH
(39.108271032770574, -84.59151357542049)",SR12054277,NEW     ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,12/17/2012 12:00:00 AM,7:26 PM,808 SCHIFF AV CINC - GJ0827431553,99.02,STANDARD,INTERNET,17900780483,12/17/2012 12:00:00 AM,CSRWEB,12/19/2012 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1375150,410518,
SAYLER PARK,"6130 RIVER RD
Cincinnati, OH
(39.10317187686445, -84.68212026987248)",SR12054252,NEW     ,Pothole repair,SEVERAL POTHOLES ON HILLSIDE AV @ DART ST,12/17/2012 12:00:00 AM,2:35 PM,DART ST & HILLSIDE AV - GJ0048030848,104,STANDARD,PHONE,16300040113,12/17/2012 12:00:00 AM,CCOLEMAN,12/19/2012 12:00:00 AM,,,12/17/2012 12:00:00 AM,,1349500,409476,
WALNUT HILLS,"2926 PARK AV
Cincinnati, OH
(39.13133721077361, -84.48554883535829)",SR12054234,CLOSED  ,Pothole repair,this hole is about 20' from a church you have to straddle this holewhen going up the street.On Monday - Saturday you can go arounditbecause there's no parking on one sidebut on Sunday they parkon both sides of streetwhich makes it difficult traveling.I re,12/17/2012 12:00:00 AM,2:01 PM,2926 PARK AV CINC - GJ1735834417,37,STANDARD,INTERNET,6600020131,12/17/2012 12:00:00 AM,CSRWEB,12/19/2012 12:00:00 AM,,12/18/2012 12:00:00 AM,12/18/2012 12:00:00 AM,,1405378,418420,
MOUNT WASHINGTON,"6057 STANHILL CT
Cincinnati, OH
(39.08680421593118, -84.39114462729248)",SR12054199,CLOSED  ,Pothole repair,The street is in major disrepair and has been for at least the past two years.,12/17/2012 12:00:00 AM,12:07 PM,6057 STANHILL CT CINC - GJ2563629633,46.02,STANDARD,INTERNET,300040405,12/17/2012 12:00:00 AM,CSRWEB,12/19/2012 12:00:00 AM,,12/19/2012 12:00:00 AM,12/19/2012 12:00:00 AM,,1431716,401399,
COLLEGE HILL,"6269 CARY AV
Cincinnati, OH
(39.20555968990027, -84.55018073495387)",SR12054193,CLOSED  ,Pothole repair,PLEASE PATROL CARY AVE FOR POTHOLES,12/17/2012 12:00:00 AM,11:56 AM,6269 CARY AV - GJ1151442452,82.01,STANDARD,PHONE,23200030039,12/17/2012 12:00:00 AM,CCOLEMAN,12/19/2012 12:00:00 AM,,12/18/2012 12:00:00 AM,12/18/2012 12:00:00 AM,,1387539,445694,
EAST PRICE HILL,"4401 GLENWAY AV
Cincinnati, OH
(39.11334320901585, -84.58682810764788)",SR12054098,CLOSED  ,Pothole repair,Metal spikes holding metal plates breaking out on to street. One was sticking up aproximately 3 inches looking like a potential tire buster.,12/15/2012 12:00:00 AM,11:05 PM,4401 GLENWAY AV CINC - GJ0864232096,97,STANDARD,INTERNET,17900770101,12/15/2012 12:00:00 AM,CSRWEB,12/17/2012 12:00:00 AM,,12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,,1376441,412236,
WEST END,"105 I-75 NB EXWY
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12054083,CLOSED  ,Pothole repair,LARGE HAZ POTHOLE ON EZZARD CHARLES DR JUST WINCHELL AV,12/14/2012 12:00:00 AM,4:41 PM,EZZARD CHARLES DR & WINCHELL AV - GJ1347731832,2,HAZARDOUS,PHONE,14200020230,12/14/2012 12:00:00 AM,CCOLEMAN,12/16/2012 12:00:00 AM,,12/18/2012 12:00:00 AM,12/18/2012 12:00:00 AM,,1392238,410583,
