CSR #,STATUS,SR TYPE,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,COMMUNITY,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION,Location 1
SR12052859,NEW     ,Recycling new 18 gallon cart,Would like an 18 gal  bin- please deliver- thanks!,12/04/2012 12:00:00 AM,2:22 PM,210 EMMING ST - GJ1432833344,CUF,26,STANDARD,PHONE,9500010038,12/04/2012 12:00:00 AM,RHENDERSON,12/14/2012 12:00:00 AM,,,12/04/2012 12:00:00 AM,,1395273,415398,,"210 EMMING ST
Cincinnati, OH
(39.12275911066263, -84.52071894527398)"
SR12052855,NEW     ,Recycling new 64 gallon cart,Needs additional 64 gal cart. Please deliver- thanks!,12/04/2012 12:00:00 AM,2:13 PM,4057 EGBERT AV - GJ1439137550,CLIFTON,71,STANDARD,PHONE,21800590124,12/04/2012 12:00:00 AM,RHENDERSON,12/14/2012 12:00:00 AM,,,12/04/2012 12:00:00 AM,,1396167,429166,,"4057 EGBERT AV
Cincinnati, OH
(39.16064754775704, -84.51809292494846)"
SR12052839,NEW     ,Recycling new 64 gallon cart,Request entered through the Web. Refer to Intake Questions for further description.,12/04/2012 12:00:00 AM,1:27 PM,917 MAIN ST CINC - GJ1521131520,CBD/RIVERFRONT,7,STANDARD,INTERNET,7900010108,12/04/2012 12:00:00 AM,CSRWEB,12/14/2012 12:00:00 AM,,,12/04/2012 12:00:00 AM,,1397870,409280,,"917 MAIN ST
Cincinnati, OH
(39.10630151752645, -84.5109433148155)"
SR12052827,NEW     ,Recycling cart missing 96,Please deliver 96 gal cart. No cart at address although garison shows a 96 gal supposed to be there. Thanks!,12/04/2012 12:00:00 AM,12:43 PM,3298 DAYTONA AV - GJ0640235808,WESTWOOD,102.01,STANDARD,PHONE,21200660157,12/04/2012 12:00:00 AM,RHENDERSON,12/21/2012 12:00:00 AM,,,12/04/2012 12:00:00 AM,,1369710,424761,,"3298 DAYTONA AV
Cincinnati, OH
(39.14678899528553, -84.61157744989418)"
SR12052784,NEW     ,Recycling new 96 gallon cart,We fill up the 96-gallon cart weekly and invariably have overflow that does not fit by pick-up day.  We would like to receive a second cart.,12/04/2012 12:00:00 AM,11:12 AM,3567 ST CHARLES PL CINC - GJ2140135573,HYDE PARK,50,STANDARD,INTERNET,4000050113,12/04/2012 12:00:00 AM,CSRWEB,12/14/2012 12:00:00 AM,,,12/04/2012 12:00:00 AM,,1418812,421548,,"3567 ST CHARLES PL
Cincinnati, OH
(39.14118621904299, -84.43798131857841)"
SR12052722,NEW     ,Recycling new 96 gallon cart,I would like the standard waste can size container that all other homes currently have.  I am not sure the gallon but it is fairly a standard size recycle can.,12/04/2012 12:00:00 AM,7:55 AM,1764 FAIRMOUNT AV CINC - GJ1155034074,SOUTH FAIRMOUNT,86.01,STANDARD,INTERNET,20200420247,12/04/2012 12:00:00 AM,CSRWEB,12/14/2012 12:00:00 AM,,,12/04/2012 12:00:00 AM,,1386291,418242,,"1764 FAIRMOUNT AV
Cincinnati, OH
(39.129998652998495, -84.55260890443299)"
SR12052713,NEW     ,Recycling new 35 gallon cart,Request entered through the Web. Refer to Intake Questions for further description.,12/03/2012 12:00:00 AM,11:20 PM,1632 CHASE AV CINC - GJ1242337806,NORTHSIDE,78,STANDARD,INTERNET,19600260055,12/03/2012 12:00:00 AM,CSRWEB,12/13/2012 12:00:00 AM,,,12/03/2012 12:00:00 AM,,1389760,430329,,"1632 CHASE AV
Cincinnati, OH
(39.163479471993625, -84.54140816266103)"
SR12052703,INPROGRS,Recycling new 96 gallon cart,Would like a new 96 gal cart,12/03/2012 12:00:00 AM,5:26 PM,5005 BARROW AV - GJ2281738100,OAKLEY,54,STANDARD,PHONE,5200040059,12/03/2012 12:00:00 AM,RHENDERSON,12/13/2012 12:00:00 AM,,,12/03/2012 12:00:00 AM,,1423860,429594,,"5005 BARROW AV
Cincinnati, OH
(39.163870655693486, -84.42077199331301)"
SR12052702,INPROGRS,Recycling new 96 gallon cart,Wants another 96 gal cart- thanks!,12/03/2012 12:00:00 AM,5:12 PM,3111 FAIRFIELD AV - GJ1847934722,EVANSTON,39,STANDARD,PHONE,5400010076,12/03/2012 12:00:00 AM,RHENDERSON,12/13/2012 12:00:00 AM,,,12/03/2012 12:00:00 AM,,1409096,419236,,"3111 FAIRFIELD AV
Cincinnati, OH
(39.13425244619708, -84.472038643828)"
SR12052701,INPROGRS,Recycling new 96 gallon cart,wants 2 new 96 gal carts for 2 family- thanks!,12/03/2012 12:00:00 AM,5:04 PM,2033 ALVIN ST - GJ1569832944,MOUNT AUBURN,22,STANDARD,PHONE,8700050088,12/03/2012 12:00:00 AM,RHENDERSON,12/13/2012 12:00:00 AM,,,12/03/2012 12:00:00 AM,,1399699,413865,,"2033 ALVIN ST
Cincinnati, OH
(39.11894598525839, -84.50479195213512)"
