NOTATION,Location 1,DATA_STATUS,COMP_TYPE,SUB_TYPE,APPROVED,X_COORD,Y_COORD,PARCEL,Location 2,Location 3
CONDEMNATION,"2617 W 8TH ST
Cincinnati, OH
(39.10547414125949, -84.55744725695064)",HAZARD  ,CBHCODE ,VACANT  ,N,1384698,409215,'017500140065      ,"8TH ST
","2617 W 8TH ST
"
KEEP THE BUILDING VACANT,"2704 W 8TH ST
Cincinnati, OH
(39.105573066682666, -84.55844550440315)",ORDERS  ,CBHCODE ,VACANT  ,N,1384440,409361,'017500150117      ,"8TH ST
","2704 W 8TH ST
"
CONDEMNATION,"3009 W 8TH ST
Cincinnati, OH
(39.10573494464796, -84.56166507726806)",PREPROS ,CBHCODE ,VACANT  ,N,1383512,409344,'017800250112      ,"8TH ST
","3009 W 8TH ST
"
CONDEMNATION,"3415 W 8TH ST
Cincinnati, OH
(39.1056719921059, -84.5667192670727)",CRIMINAL,CBHCODE ,VACANT  ,N,1382069,409325,'017600210004      ,"8TH ST
","3415 W 8TH ST
"
KEEP THE BUILDING VACANT,"3415 W 8TH ST
Cincinnati, OH
(39.1056719921059, -84.5667192670727)",PREPROS ,CBHCODE ,VACANT  ,N,1382069,409325,'017600210004      ,"8TH ST
","3415 W 8TH ST
"
CONDEMNATION,"3508 W 8TH ST
Cincinnati, OH
(39.10595078193501, -84.57000179247967)",CIVIL2  ,CBHCODE ,VACANT  ,N,1381140,409588,'017600190198      ,"8TH ST
","3508 W 8TH ST
"
KEEP THE BUILDING VACANT,"3514 W 8TH ST
Cincinnati, OH
(39.10597776159585, -84.5704604467146)",CRIMINAL,CBHCODE ,VACANT  ,N,1381019,409606,'017600190195      ,"8TH ST
","3514 W 8TH ST
"
KEEP THE BUILDING VACANT,"3516 W 8TH ST
Cincinnati, OH
(39.10598675481617, -84.57060433823926)",CIVIL2  ,CBHCODE ,VACANT  ,N,1380982,409610,'017600190189      ,"8TH ST
","3516 W 8TH ST
"
KEEP THE BUILDING VACANT,"3637 W 8TH ST
Cincinnati, OH
(39.10607668701908, -84.5726278128052)",ORDERS  ,CBHCODE ,VACANT  ,N,1380408,409536,'017600200052      ,"8TH ST
","3637 W 8TH ST
"
KEEP THE BUILDING VACANT,"3637 W 8TH ST
Cincinnati, OH
(39.10607668701908, -84.5726278128052)",PREPROS ,CBHCODE ,VACANT  ,N,1380408,409536,'017600200052      ,"8TH ST
","3637 W 8TH ST
"
CONDEMNATION,"1213 BLANCHARD AV
Cincinnati, OH
(39.11409863952048, -84.56602678911014)",HAZARD  ,CBHCODE ,VACANT  ,N,1382314,412460,'017300030115      ,"BLANCHARD AV
","1213 BLANCHARD AV
"
KEEP THE BUILDING VACANT,"1239 BLANCHARD AV
Cincinnati, OH
(39.11491702256711, -84.56595484334781)",ORDERS  ,CBHCODE ,VACANT  ,N,1382327,412791,'017300030098      ,"BLANCHARD AV
","1239 BLANCHARD AV
"
KEEP THE BUILDING VACANT,"1104 CARSON AV
Cincinnati, OH
(39.11265073105329, -84.57234902297614)",FINLNOTC,CBHCODE ,VACANT  ,N,1380591,411977,'017400080144      ,"CARSON AV
","1104 CARSON AV
"
KEEP THE BUILDING VACANT,"1104 CARSON AV
Cincinnati, OH
(39.11265073105329, -84.57234902297614)",ORDERS  ,CBHCODE ,VACANT  ,N,1380591,411977,'017400080144      ,"CARSON AV
","1104 CARSON AV
"
VACATE THE BUILDING,"1104 CARSON AV
Cincinnati, OH
(39.11265073105329, -84.57234902297614)",ORDERS  ,CBHCODE ,VACANT  ,N,1380591,411977,'017400080144      ,"CARSON AV
","1104 CARSON AV
"
KEEP THE BUILDING VACANT,"1110 CARSON AV
Cincinnati, OH
(39.11280361579827, -84.57216915857026)",CIVIL1  ,CBHCODE ,VACANT  ,N,1380635,412003,'017400080143      ,"CARSON AV
","1110 CARSON AV
"
CONDEMNATION,"1114 CARSON AV
Cincinnati, OH
(39.11289354800118, -84.57207023314703)",HAZARD  ,CBHCODE ,VACANT  ,N,1380665,412023,'017400080142      ,"CARSON AV
","1114 CARSON AV
"
CONDEMNATION,"1117 CARSON AV
Cincinnati, OH
(39.11306441918674, -84.5719713077238)",HAZARD  ,CBHCODE ,VACANT  ,N,1380612,412177,'017400070004      ,"CARSON AV
","1117 CARSON AV
"
CONDEMNATION,"814 CHATEAU AV
Cincinnati, OH
(39.106202592103216, -84.56000133151383)",ORDERS  ,CBHCODE ,VACANT  ,N,1384058,409559,'017500160176      ,"CHATEAU AV
","814 CHATEAU AV
"
CONDEMNATION,"816 CHATEAU AV
Cincinnati, OH
(39.10629252430613, -84.55999233829357)",ORDERS  ,CBHCODE ,VACANT  ,N,1384122,409581,'017500160031      ,"CHATEAU AV
","816 CHATEAU AV
"
CONDEMNATION,"817 CHATEAU AV
Cincinnati, OH
(39.10630151752645, -84.5600642840559)",HAZARD  ,CBHCODE ,VACANT  ,N,1383895,409608,'017500160040      ,"CHATEAU AV
","817 CHATEAU AV
"
CONDEMNATION,"911 CHATEAU AV
Cincinnati, OH
(39.107236812436895, -84.55996535863267)",HAZARD  ,CBHCODE ,VACANT  ,N,1383946,409952,'017500160046      ,"CHATEAU AV
","911 CHATEAU AV
"
KEEP THE BUILDING VACANT,"915 CHATEAU AV
Cincinnati, OH
(39.10736271752097, -84.55995636541235)",ORDERS  ,CBHCODE ,VACANT  ,N,1383944,409993,'017500160047      ,"CHATEAU AV
","915 CHATEAU AV
"
CONDEMNATION,"431 CONSIDINE AV
Cincinnati, OH
(39.098675266717976, -84.56426411793274)",PREPROS ,CBHCODE ,VACANT  ,N,1382645,406863,'017700350179      ,"CONSIDINE AV
","431 CONSIDINE AV
"
CONDEMNATION,"451 CONSIDINE AV
Cincinnati, OH
(39.09923108629975, -84.5642327434072)",CRIMINAL,CBHCODE ,VACANT  ,N,1382613,407032,'017700350131      ,"CONSIDINE AV
","451 CONSIDINE AV
"
CONDEMNATION,"549 CONSIDINE AV
Cincinnati, OH
(39.10204772432786, -84.5638864026804)",HAZARD  ,CBHCODE ,VACANT  ,N,1382786,408086,'017800260140      ,"CONSIDINE AV
","549 CONSIDINE AV
"
KEEP THE BUILDING VACANT,"818 CONSIDINE AV
Cincinnati, OH
(39.106544334474336, -84.5633647959034)",CIVIL1  ,CBHCODE ,VACANT  ,N,1383078,409735,'017500170060      ,"CONSIDINE AV
","818 CONSIDINE AV
"
CONDEMNATION,"827 CONSIDINE AV
Cincinnati, OH
(39.1067421853208, -84.5634187552252)",ORDERS  ,CBHCODE ,VACANT  ,N,1382944,409790,'017500170062      ,"CONSIDINE AV
","827 CONSIDINE AV
"
CONDEMNATION,"831 CONSIDINE AV
Cincinnati, OH
(39.10687708362519, -84.56340076878456)",ORDERS  ,CBHCODE ,VACANT  ,N,1382970,409831,'017500170061      ,"CONSIDINE AV
","831 CONSIDINE AV
"
CONDEMNATION,"1033 CONSIDINE AV
Cincinnati, OH
(39.11096000563822, -84.56296909421053)",HAZARD  ,CBHCODE ,VACANT  ,N,1383137,411318,'017300040050      ,"CONSIDINE AV
","1033 CONSIDINE AV
"
CONDEMNATION,"1038 CONSIDINE AV
Cincinnati, OH
(39.111265775128174, -84.56287916200762)",ORDERS  ,CBHCODE ,VACANT  ,N,1383283,411409,'017300040140      ,"CONSIDINE AV
","1038 CONSIDINE AV
"
KEEP THE BUILDING VACANT,"316 CRESTLINE AV
Cincinnati, OH
(39.09673273113469, -84.56770852130495)",ORDERS  ,CBHCODE ,VACANT  ,N,1381807,406159,'017700370194      ,"CRESTLINE AV
","316 CRESTLINE AV
"
CONDEMNATION,"316 CRESTLINE AV
Cincinnati, OH
(39.09673273113469, -84.56770852130495)",PREPROS ,CBHCODE ,VACANT  ,N,1381807,406159,'017700370194      ,"CRESTLINE AV
","316 CRESTLINE AV
"
KEEP THE BUILDING VACANT,"318 CRESTLINE AV
Cincinnati, OH
(39.09684064977819, -84.56770852130495)",CIVIL2  ,CBHCODE ,VACANT  ,N,1381794,406210,'017700370198      ,"CRESTLINE AV
","318 CRESTLINE AV
"
KEEP THE BUILDING VACANT,"341 CRESTLINE AV
Cincinnati, OH
(39.0973172904537, -84.5677894602876)",ORDERS  ,CBHCODE ,VACANT  ,N,1381629,406421,'017700370039      ,"CRESTLINE AV
","341 CRESTLINE AV
"
KEEP THE BUILDING VACANT,"341 CRESTLINE AV
Cincinnati, OH
(39.0973172904537, -84.5677894602876)",CIVIL2  ,CBHCODE ,VACANT  ,N,1381629,406421,'017700370039      ,"CRESTLINE AV
","341 CRESTLINE AV
"
CONDEMNATION,"432 CRESTLINE AV
Cincinnati, OH
(39.09876519892089, -84.56772650774553)",FINLNOTC,CBHCODE ,VACANT  ,N,1381787,406912,'017700370058      ,"CRESTLINE AV
","432 CRESTLINE AV
"
