NOTATION,DATA_STATUS,COMP_TYPE,SUB_TYPE,APPROVED,X_COORD,Y_COORD,PARCEL,Location 1
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1402195,414980,'006900010189      ,"2232 BOONE ST
CINCINNATO, OH
(39.12203648082, -84.49642944585172)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1402231,415279,'006800020043      ,"2312 BOONE ST
CINCINNATO, OH
(39.1231300911946, -84.49634085840869)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1402283,415954,'006800020254      ,"2400 BOONE ST
CINCINNATO, OH
(39.124808869927186, -84.49615903652835)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1402316,416004,'006800020255      ,"2404 BOONE ST
CINCINNATO, OH
(39.12498639609576, -84.49614635608776)"
CONDEMNATION,FINLNOTC,CBHCODE ,VACANT  ,N,1402312,416028,'006800020257      ,"2406 BOONE ST
CINCINNATO, OH
(39.12507515918004, -84.49614001586747)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1405158,418079,'006600030103      ,"1019 CHAPEL ST
CINCINNATO, OH
(39.13104632964661, -84.48674137370597)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1405158,418079,'006600030103      ,"1019 CHAPEL ST
CINCINNATO, OH
(39.13104632964661, -84.48674137370597)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1405854,418027,'006600020254      ,"1207 CHAPEL ST
CINCINNATO, OH
(39.1308732031791, -84.48364902736603)"
VACATE THE BUILDING,ORDERS  ,CBHCODE ,VACANT  ,N,1405951,418141,'006600020232      ,"1214 CHAPEL ST
CINCINNATO, OH
(39.13095867229287, -84.48324971090523)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1405951,418141,'006600020232      ,"1214 CHAPEL ST
CINCINNATO, OH
(39.13095867229287, -84.48324971090523)"
