NOTATION,DATA_STATUS,COMP_TYPE,SUB_TYPE,APPROVED,X_COORD,Y_COORD,PARCEL,Location 1
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1377931,426632,'020900050091      ,"3418 BIGHORN CT
Cincinnati, OH
(39.152472710510665, -84.58278115851601)"
CONDEMNATION,CRIMPREP,CBHCODE ,VACANT  ,N,1377839,422889,'020700540019      ,"3037 BRACKEN WOODS LN
Cincinnati, OH
(39.142508222426045, -84.58271820597395)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1377726,423179,'02070B540014      ,"3050 BRACKEN WOODS LN
Cincinnati, OH
(39.14288593767833, -84.58321283309004)"
KEEP THE BUILDING VACANT,PREPROS ,CBHCODE ,VACANT  ,N,1377688,423218,'02070B540015      ,"3054 BRACKEN WOODS LN
Cincinnati, OH
(39.14299385632188, -84.58338370427566)"
KEEP THE BUILDING VACANT,PREPROS ,CBHCODE ,VACANT  ,N,1377602,423261,'02070B540022      ,"3064 BRACKEN WOODS LN
Cincinnati, OH
(39.14326365293067, -84.58380638562943)"
KEEP THE BUILDING VACANT,CRIMINAL,CBHCODE ,VACANT  ,N,1377505,423136,'020700540113      ,"3065 BRACKEN WOODS LN
Cincinnati, OH
(39.1431737207277, -84.58378839918885)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1377505,423136,'020700540113      ,"3065 BRACKEN WOODS LN
Cincinnati, OH
(39.1431737207277, -84.58378839918885)"
VACATE THE BUILDING,CRIMINAL,CBHCODE ,VACANT  ,N,1377505,423136,'020700540113      ,"3065 BRACKEN WOODS LN
Cincinnati, OH
(39.1431737207277, -84.58378839918885)"
VACATE THE BUILDING,PREPROS ,CBHCODE ,VACANT  ,N,1377466,423168,'020700540111      ,"3069 BRACKEN WOODS LN
Cincinnati, OH
(39.14327264615093, -84.58392329749319)"
CONDEMNATION,PREPROS ,CBHCODE ,VACANT  ,N,1377466,423168,'020700540111      ,"3069 BRACKEN WOODS LN
Cincinnati, OH
(39.14327264615093, -84.58392329749319)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1377428,423200,'020700540112      ,"3073 BRACKEN WOODS LN
Cincinnati, OH
(39.1433625783539, -84.58405819579758)"
KEEP THE BUILDING VACANT,CRIMINAL,CBHCODE ,VACANT  ,N,1377428,423200,'020700540112      ,"3073 BRACKEN WOODS LN
Cincinnati, OH
(39.1433625783539, -84.58405819579758)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1377278,423415,'020700540120      ,"3111 BRACKEN WOODS LN
Cincinnati, OH
(39.143884185130844, -84.58454382969342)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1377441,423580,'020700540124      ,"3118 BRACKEN WOODS LN
Cincinnati, OH
(39.14432485292525, -84.58437295850786)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1377289,423613,'020700540118      ,"3127 BRACKEN WOODS LN
Cincinnati, OH
(39.144252907162866, -84.58448987037167)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1377409,423831,'020700540239      ,"3143 BRACKEN WOODS LN
Cincinnati, OH
(39.14481048682103, -84.58411215511939)"
KEEP THE BUILDING VACANT,CRIMINAL,CBHCODE ,VACANT  ,N,1377409,423831,'020700540239      ,"3143 BRACKEN WOODS LN
Cincinnati, OH
(39.14481048682103, -84.58411215511939)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1377488,423940,'020700540242      ,"3157 BRACKEN WOODS LN
Cincinnati, OH
(39.14510726309072, -84.58385135173086)"
CONDEMNATION,CRIMINAL,CBHCODE ,VACANT  ,N,1377514,423976,'020700540243      ,"3161 BRACKEN WOODS LN
Cincinnati, OH
(39.14517021563279, -84.58379739240911)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1377514,423976,'020700540243      ,"3161 BRACKEN WOODS LN
Cincinnati, OH
(39.14517021563279, -84.58379739240911)"
KEEP THE BUILDING VACANT,CIVIL2  ,CBHCODE ,VACANT  ,N,1380618,421859,'020700500141      ,"3011 CAVANAUGH AV
Cincinnati, OH
(39.13968435125406, -84.57264579924578)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1378577,420355,'020700530113      ,"2623 CORA AV
Cincinnati, OH
(39.135394585174254, -84.57978641615841)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1379041,420952,'020700530108      ,"2683 CORA AV
Cincinnati, OH
(39.13709430380965, -84.57819461616657)"
KEEP THE BUILDING VACANT,CIVIL1  ,CBHCODE ,VACANT  ,N,1377334,420222,'020800680015      ,"2797 CYCLORAMA DR
Cincinnati, OH
(39.135079822464036, -84.58401322969615)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1379177,421485,'020700530101      ,"2321 DAUTEL AV
Cincinnati, OH
(39.13888395464795, -84.57796978565926)"
KEEP THE BUILDING VACANT,PREPROS ,CBHCODE ,VACANT  ,N,1379117,420338,'020700530041      ,"2625 FENTON AV
Cincinnati, OH
(39.13540357839457, -84.57788884667661)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1379117,420338,'020700530041      ,"2625 FENTON AV
Cincinnati, OH
(39.13540357839457, -84.57788884667661)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1379291,420523,'020700530095      ,"2645 FENTON AV
Cincinnati, OH
(39.13588921229041, -84.57731328057787)"
KEEP THE BUILDING VACANT ,ORDERS  ,CBHCODEC,VACANT  ,N,1372786,418146,'024800020006      ,"2350 FERGUSON RD
Cincinnati, OH
(39.12922523605329, -84.60075860588171)"
KEEP THE BUILDING VACANT ,ORDERS  ,CBHCODEC,VACANT  ,N,1372786,418146,'024800020006      ,"2350 FERGUSON RD
Cincinnati, OH
(39.12922523605329, -84.60075860588171)"
KEEP THE BUILDING VACANT,CIVIL1  ,CBHCODE ,VACANT  ,N,1377620,425419,'020900040212      ,"3320 FERNCROFT DR
Cincinnati, OH
(39.149325083408144, -84.58386933817144)"
CONDEMNATION,CRIMINAL,CBHCODE ,VACANT  ,N,1380528,424420,'022400060020      ,"3506 FYFFE AV
Cincinnati, OH
(39.14686094104786, -84.57361706703745)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1371590,427362,'021100720016      ,"3311 GAMBLE AV
Cincinnati, OH
(39.154433232534586, -84.60506635840204)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1367974,420726,'021200670136      ,"3372 GEROLD DR
Cincinnati, OH
(39.13562840890188, -84.61735109732228)"
KEEP THE BUILDING VACANT ,CIVIL2  ,CBHCODEC,VACANT  ,N,1369407,424840,'021200660094      ,"3306 GLENMORE AV
Cincinnati, OH
(39.147238656300146, -84.61295341259904)"
